Date,Payment Type,Transaction Name,Category,Amount (INR)
24/11/24,UPI,Digital Gold - Gringotts LLC,Digital Gold,357458
25/01/24,UPI,Bonds - Kahuna Ltd.,Bonds,134842
25/02/24,UPI,Lifestyle - EvilCorp. ,Lifestyle,28591
25/05/24,UPI,Digital Insurance - PiedPiper LLC,Digital Insurance,4745
25/06/24,Debit,ETFs - Duff Inc,ETFs,-215765
25/07/24,Credit,ETFs - Vandelay Group,ETFs,143347
25/08/24,UPI,REITs - Weyland LLC,REITs,302623
25/10/24,UPI,Bonds - BuyNLarge ,Bonds,345077
25/11/24,Debit,REITs - Cyberdyne ,REITs,-129161
26/01/24,Debit,Digital Insurance - Vandelay Ltd.,Digital Insurance,-88722
26/02/24,Credit,Digital Gold - Initech Ltd.,Digital Gold,240960
26/03/24,UPI,Digital Gold - OmniCorp Inc,Digital Gold,347696
26/04/24,UPI,REITs - MomCorp Ltd.,REITs,349931
26/05/24,UPI,Bonds - Spacely LLC,Bonds,143643
26/05/24,Credit,P2P - Bobby Romero,P2P,11187
26/05/24,Credit,Mutual Funds - Primatech Inc,Mutual Funds,25864
26/07/24,Credit,Medical Bills - Oceanic Group,Medical Bills,328549
26/10/24,Credit,P2P - Douglas Anderson,P2P,4960
26/10/24,UPI,Lifestyle - PiedPiper ,Lifestyle,7308
26/11/24,Debit,P2P - Gavin Griffin,P2P,-9405
27/01/24,Credit,Lifestyle - Tyrell Inc,Lifestyle,563
27/03/24,Debit,REITs - Duff ,REITs,-117525
27/10/24,Credit,Digital Gold - Gekko LLC,Digital Gold,367661
27/11/24,Credit,Digital Gold - Octan Group,Digital Gold,488943
27/11/24,UPI,Digital Insurance - Kahuna Ltd.,Digital Insurance,32147
28/01/24,Credit,Medical Bills - Illusions Inc,Medical Bills,51471
28/02/24,Debit,ETFs - Weyland Ltd.,ETFs,-60032
28/03/24,UPI,ETFs - BuyNLarge Inc,ETFs,58096
28/04/24,Debit,Mutual Funds - Gekko Inc,Mutual Funds,-13742
28/06/24,Debit,Lifestyle - Virtucon LLC,Lifestyle,-3633
28/07/24,UPI,Digital Gold - Globex Group,Digital Gold,438226
28/07/24,Credit,REITs - Spacely Inc,REITs,246152
28/09/24,Debit,Bonds - AnkhMorpork Inc,Bonds,-186312
29/04/24,UPI,Lifestyle - Chum Inc,Lifestyle,21246
29/04/24,UPI,Lifestyle - Cogswell Group,Lifestyle,25835
29/04/24,Debit,REITs - Virtucon ,REITs,-93360
29/05/24,Debit,Digital Insurance - Gringotts Ltd.,Digital Insurance,-46219
29/07/24,Credit,Bonds - Nakatomi Inc,Bonds,427027
29/08/24,UPI,Lifestyle - Illusions LLC,Lifestyle,16031
29/09/24,Credit,Bonds - Octan Inc,Bonds,270512
29/09/24,Debit,Digital Insurance - Hooli Inc,Digital Insurance,-149295
29/11/24,Credit,Lifestyle - Stark Inc,Lifestyle,4693
29/12/24,Credit,Bonds - Octan LLC,Bonds,154885
29/12/24,Credit,ETFs - Oceanic Inc,ETFs,25796
29/12/24,Credit,Medical Bills - Kahuna Ltd.,Medical Bills,48663
30/01/24,Debit,Digital Insurance - Globex Ltd.,Digital Insurance,-95115
30/03/24,Debit,Bonds - Fizzbin LLC,Bonds,-255231
30/04/24,Debit,Digital Insurance - Wonka ,Digital Insurance,-190209
30/04/24,UPI,REITs - Illusions ,REITs,46531
30/06/24,Debit,Lifestyle - Fizzbin Group,Lifestyle,-12764
30/07/24,UPI,Medical Bills - Weyland Inc,Medical Bills,2328
30/08/24,Debit,Medical Bills - OmniCorp Group,Medical Bills,-186740
30/09/24,Debit,REITs - Renraku LLC,REITs,-318944
30/10/24,Debit,Medical Bills - MomCorp Group,Medical Bills,-15324
30/11/24,Debit,Lifestyle - Gringotts Group,Lifestyle,-14322
30/12/24,Debit,P2P - Spencer Vasquez,P2P,-1797
31/01/24,Debit,Digital Insurance - Weyland ,Digital Insurance,-120066
31/05/24,UPI,Bonds - BuyNLarge LLC,Bonds,470962
31/07/24,Debit,Medical Bills - Aperture Group,Medical Bills,-18115
31/08/24,Credit,Mutual Funds - Nakatomi Group,Mutual Funds,26036
31/08/24,Credit,P2P - Dennis Smith,P2P,12058
31/10/24,Credit,REITs - Gringotts ,REITs,361942
